PID,x_merc,y_merc,Neighborhood,Sector,SalePrice,latitude,longitude,le_Neighbor,le_Sector,MSSubClass,YearBuilt,YearRemodAdd,OverallQual,Prop_Addr,GrLivArea
909176150,-10425250.559492102,5163760.720363054,SWISU,SO,126.0,42.01856448979592,-93.65161918367347,21,4,1Fl,1939,1950,6,436 HAYWARD AVE,856
905476230,-10426592.160815949,5164703.377285634,Edwards,WE,140.0,42.02485531593042,-93.66367099341755,7,5,1FlPUD,1984,1984,5,3416 WEST ST,1049
911128020,-10421070.3919705,5164207.719008793,IDOTRR,DT,125.0,42.021547615297024,-93.61406809992512,11,0,1Fl,1930,2007,5,320 S 2ND ST,1001
535377150,-10420863.210730867,5166582.151480443,OldTown,DT,114.0,42.03739146938776,-93.61220695918368,20,0,2Fl,1900,2003,4,1524 DOUGLAS AVE,1039
534177230,-10423046.3370085,5167655.719510569,NWAmes,NW,227.0,42.04455376067282,-93.63181831620726,17,2,2Fl,2001,2001,8,2304 FILLMORE AVE,1665
908128060,-10427629.203104476,5163827.291298559,Edwards,WE,198.0,42.01900877172312,-93.67298690279816,7,5,SPLIT,2003,2003,7,4003 MARIGOLD DR,1922
902135020,-10420902.613297964,5165648.504091299,OldTown,DT,93.0,42.031162,-93.61256091846626,20,0,1Fl,1953,1953,4,212 10TH ST 210,936
528228540,-10424131.76538897,5170463.817600481,Blmngtn,NW,188.0,42.06328412279648,-93.6415688852472,0,2,1Fl,2007,2008,7,2431 LAKESIDE DR,1246
923426010,-10419907.18409276,5158956.785386048,Mitchel,SE,138.0,41.98649573595674,-93.6036188257733,14,3,1Fl,1984,1984,5,602 KEN MARIL RD,889
908186050,-10427173.391527144,5163819.358739377,Edwards,WE,140.0,42.0189558314751,-93.6688922777322,7,5,2FlPUD,2005,2005,6,3901 MARIGOLD DR,1072
528186170,-10421771.804958371,5166153.874296733,NridgHt,NW,220.0,42.0600881067537,-93.65380926777956,19,2,1FlPUD,2006,2007,8,3629 CHILTON AVE,1342
923426070,-10419742.55289966,5158957.40577067,Mitchel,SE,136.0,41.98649987838884,-93.60213991860324,14,3,2Fl,1991,1991,5,700 KEN MARIL RD,1274
902204080,-10420483.565830734,5165799.172127037,OldTown,DT,80.0,42.03216732653061,-93.6087965510204,20,0,1Fl,1920,1950,4,1102 CARROLL AVE,861
535105100,-10421254.395334316,5168007.669574904,NAmes,NO,159.0,42.04690161396658,-93.61572103026556,15,1,1Fl,1963,1963,6,2519 KELLOGG AVE,1394
907405020,-10429261.737870645,5163362.696862511,CollgCr,WE,214.0,42.01590809090909,-93.6876522121212,5,5,1Fl,2002,2003,7,812 TENNYSON AVE,1536
531382110,-10429434.802061465,5166354.023588935,SawyerW,WE,163.0,42.03586941394644,-93.68920687419867,23,5,2Fl,1993,1994,6,5220 MARYLAND ST,1680
906380120,-10429424.1636687,5164698.048046904,CollgCr,WE,203.0,42.02481975297594,-93.68911130789051,5,5,1Fl,2005,2007,7,319 HARTFORD DR,1274
909101060,-10425841.405218564,5164287.8662775485,Edwards,WE,67.0,42.02208247765018,-93.65692684113984,7,5,1Fl,1914,1950,3,2910 WOOD ST,864
534152050,-10423654.239340808,5167470.250265162,NWAmes,NW,205.0,42.04331646337044,-93.63727919577092,17,2,1Fl,1977,2001,6,2102 PRAIRIE VIEW EAST,1610
923252075,-10420192.359045427,5159111.3426505495,Mitchel,SE,131.0,41.98752773737374,-93.6061805959596,14,3,SPLIT,1993,1996,6,424 TEAGARDEN DR,1091
531376060,-10429651.083112076,5166606.94983345,SawyerW,WE,181.0,42.03755692029672,-93.691149759933,23,5,1Fl,2006,2006,7,1514 CALIFORNIA AVE,1486
902201120,-10420487.907290876,5166001.649912255,OldTown,DT,115.0,42.03351832653061,-93.6088355510204,20,0,1Fl,1948,1950,5,1216 CARROLL AVE,789
923228080,-10419847.913464803,5159804.450016789,MeadowV,SE,98.0,41.99215551070729,-93.6030863886634,13,3,2FlPUD,1970,2007,6,626 MEADOW PL,1092
902326030,-10420872.29576441,5165378.16644614,OldTown,DT,266.0,42.02935814285714,-93.61228857142856,20,0,2Fl,1880,2003,7,829 DOUGLAS AVE,2640
527451330,-10422577.248517156,5168723.448984559,BrDale,NO,106.0,42.051676299375686,-93.62760442259348,2,1,2FlPUD,1971,1971,5,1342 BARKLEY CT,1092
528218100,-10424529.383670524,5170246.500691482,Gilbert,NW,168.0,42.06183478929063,-93.64514075104287,8,2,2Fl,2006,2007,7,4205 CRESTMOOR AVE,1458
916386140,-10425111.946279626,5160220.194046976,Timber,SO,201.0,41.994931209457846,-93.650374,26,4,1Fl,2007,2007,8,3028 COTTONTAIL LN,1466
533221090,-10424706.852359056,5167898.798134411,Somerst,NW,178.0,42.046175343583606,-93.64673497939646,24,2,2FlPUD,2000,2000,6,2711 HAMPTON ST,1573
534128010,-10423138.45058114,5168327.362297633,NWAmes,NW,200.0,42.04903420384354,-93.63264578650906,17,2,2Fl,1973,1973,7,1636 JOHNSON ST,2090
528106110,-10425827.768873418,5170173.994333358,NridgHt,NW,450.0,42.06135122133348,-93.6568043437672,19,2,1Fl,2005,2006,10,3331 WESTON DR,2046
902206260,-10420668.132237831,5165638.262284783,OldTown,DT,91.0,42.03109366137248,-93.61045453926472,20,0,1Fl,1938,1996,5,926 DUFF AVE,886
528222090,-10424439.53462146,5170455.175192507,Gilbert,NW,174.0,42.06322648533865,-93.64433362330249,8,2,1Fl,2007,2007,7,4302 WELBECK DR,1258
528218150,-10424635.47764074,5170381.357249893,Gilbert,NW,200.0,42.06273418076429,-93.64609380939284,8,2,1Fl,2005,2005,6,4103 CRESTMOOR AVE,1324
903400180,-10422551.905385012,5165405.979099466,BrkSide,DT,207.0,42.02954372815348,-93.62737676136398,3,0,1Fl,1923,2000,6,816 BROOKRIDGE AVE,1848
535453210,-10420256.725448454,5166564.511789879,NAmes,NO,155.0,42.037273779743664,-93.60675880919582,15,1,1Fl,1960,1960,5,1522 MAXWELL AVE,1269
916386010,-10424985.151107786,5160265.519585821,Timber,SO,220.0,41.99523381632653,-93.64923497959184,26,4,1Fl,2008,2008,7,3005 CEDAR LN,1346
907181090,-10429576.108083682,5163584.490818757,CollgCr,WE,196.0,42.01738835191348,-93.69047624779364,5,5,2Fl,1999,1999,7,5408 CERVANTES DR,1749
902206020,-10420637.593384944,5165766.625720992,OldTown,DT,62.0,42.03195016326531,-93.61018020408164,20,0,1Fl,1921,1950,3,118 E 11TH ST,492
527327050,-10423017.594154209,5169147.651508225,NWAmes,NW,195.0,42.05450581967213,-93.6315601147541,17,2,2Fl,1976,1976,6,3323 BUCHANAN CT,2030
527455250,-10422331.589556022,5168299.9219703,NAmes,NO,129.0,42.048851159119046,-93.6253976305988,15,1,1Fl,1966,1966,5,1115 28TH ST,988
528326110,-10425562.005841756,5169301.194544957,NoRidge,NW,291.0,42.05552995303909,-93.65441695383424,18,2,2Fl,2000,2000,9,3013 ALMOND RD,2172
914452190,-10420331.385082023,5160110.525553981,Mitchel,SE,134.0,41.99419902380953,-93.60742948809524,14,3,1Fl,1983,1983,6,302 OPAL CIR,1080
535425060,-10420084.944365162,5167167.399334069,NAmes,NO,186.0,42.04129604081633,-93.6052156734694,15,1,1Fl,1958,2001,7,1903 MEADOWLANE AVE,1312
532376250,-10427583.79557269,5166352.848155054,Sawyer,WE,134.0,42.035861571428576,-93.672579,22,5,1Fl,1963,1963,5,4015 TORONTO ST,925
535379110,-10421047.771631123,5166365.621580026,OldTown,DT,148.0,42.03594679591837,-93.6138648979592,20,0,2Fl,1895,1999,5,1412 KELLOGG AVE,1534
528118010,-10425925.664495409,5170035.677877276,NridgHt,NW,325.0,42.06042873469387,-93.65768375510204,19,2,2Fl,2005,2006,8,3335 PRESTON CIR,2376
528235160,-10424376.96100298,5169928.3154826,Gilbert,NW,215.0,42.05971268357939,-93.64377151492386,8,2,2Fl,2004,2005,7,3908 WELBECK DR,1959
905478030,-10426260.722877031,5164704.233896708,Edwards,WE,131.0,42.02486103224607,-93.66069363575488,7,5,1Fl,1949,2008,5,3218 WEST ST,1716
902106130,-10421753.907510445,5165693.535113624,OldTown,DT,110.0,42.03146246938776,-93.6202082244898,20,0,1Fl,1920,1950,5,1010 GRAND AVE,936
902102080,-10421242.905611178,5165982.790260956,OldTown,DT,110.0,42.03339248979592,-93.61561781632652,20,0,1Fl,1910,1981,5,1203 BURNETT AVE,1230
909176170,-10425250.832111262,5163779.679586167,SWISU,SO,150.0,42.01869102040816,-93.65162163265306,21,4,DUP2FAM,1923,1950,5,426 HAYWARD AVE 428,2592
533206070,-10424804.959059324,5168088.444934506,Somerst,NW,194.0,42.04744045286655,-93.64761628687974,24,2,1FlPUD,2006,2007,8,2807 BRISTOL DR,1565
527302020,-10423716.65601202,5169292.23464153,NWAmes,NW,178.0,42.05547019086042,-93.63783989426828,17,2,SPLIT,1984,2003,6,3414 EISENHOWER AVE,1868
907414060,-10429117.89284863,5163072.57085471,CollgCr,WE,180.0,42.013971727272725,-93.68636003030302,5,5,1Fl,2004,2004,7,4824 WALLER ST,1422
904301060,-10426042.948275257,5165192.447766456,Edwards,WE,179.0,42.02811888524044,-93.6587373332222,7,5,DUP2FAM,1987,1988,5,3012 OAKLAND ST 3014,1200
532479020,-10426237.72029002,5166165.597254035,Sawyer,WE,140.0,42.034612217391306,-93.660487,22,5,1Fl,1972,1972,5,1306 SCOTT CIR,1641
528110070,-10425991.329856517,5170308.839709736,NridgHt,NW,395.0,42.06225054508096,-93.65827363707724,19,2,1Fl,2006,2006,8,3207 STOCKBURY ST,1973
534429130,-10421962.731674569,5166993.296082431,NAmes,NO,152.0,42.04013450915821,-93.62208412387304,15,1,1Fl,1960,1960,5,808 NARLAND DR,1248
528365060,-10425733.554316215,5168409.483169224,NoRidge,NW,341.0,42.049582,-93.655958,18,2,2Fl,1993,1994,7,2900 RIDGETOP RD,2418
533135020,-10425103.549609464,5168107.779310144,NoRidge,NW,235.0,42.04756942857143,-93.65029857142858,18,2,2Fl,1991,2008,7,2614 SOUTHRIDGE CIR,1755
910203100,-10422666.70234486,5164023.467977211,IDOTRR,DT,72.0,42.020318,-93.628408,11,0,1Fl,1925,1950,4,301 S RUSSELL AVE,672
905451390,-10427005.139428884,5164657.11807586,Edwards,WE,154.0,42.0245466193626,-93.66738084341767,7,5,1Fl,1954,1954,6,310 WESTWOOD DR,1626
533213010,-10424803.10690936,5168086.482810995,Somerst,NW,222.0,42.04742736392327,-93.6475996487335,24,2,1FlPUD,2008,2008,6,2805 BRISTOL DR,1726
528118030,-10425910.002524603,5170035.540179461,NridgHt,NW,390.0,42.06042781632653,-93.6575430612245,19,2,2Fl,2006,2006,9,3317 PRESTON CIR,2748
907200340,-10429291.591315309,5164184.118363936,CollgCr,WE,128.0,42.021390115667074,-93.68792039017748,5,5,1Fl,1976,1976,5,5203 SCHUBERT ST,894
528164060,-10425828.393662924,5169742.751107474,NridgHt,NW,615.0,42.05847504704884,-93.65680995634683,19,2,1Fl,2003,2003,10,3320 FOXLEY DR,2470
907202010,-10429141.988339772,5163927.799837606,CollgCr,WE,158.0,42.01967954096487,-93.68657648378274,5,5,1Fl,1978,1978,5,410 THACKERAY AVE,1174
528186180,-10421771.804958371,5166153.874296733,NridgHt,NW,254.0,42.0600881067537,-93.65380926777956,19,2,1FlPUD,2006,2006,8,3623 CHILTON AVE,1324
909250060,-10424724.40905478,5163838.61548949,SWISU,SO,169.0,42.019084346938776,-93.64689269387756,21,4,1Fl,1919,1990,6,2320 KNAPP ST,2447
528315060,-10425625.11608693,5169075.972175736,NoRidge,NW,284.0,42.05402771225761,-93.65498388281247,18,2,2Fl,1997,1997,8,3142 BAYBERRY RD,2199
528231020,-10424410.941195756,5169988.954012282,Gilbert,NW,184.0,42.06011711190303,-93.64407676418914,8,2,SPLIT,2004,2004,7,3917 WELBECK DR,1374
528456230,-10424761.335474752,5168650.5174276,Somerst,NW,210.0,42.05118981781087,-93.64722440955204,24,2,1Fl,2006,2007,7,2841 ASPEN RD,1335
907180120,-10429800.324907333,5163566.722353644,CollgCr,WE,214.0,42.01726976579473,-93.69249042179008,5,5,1Fl,1999,1999,7,5325 CERVANTES DR,1588
911370410,-10421238.230942186,5162389.221147587,Crawfor,SO,392.0,42.00941067078177,-93.6155758230605,6,4,1FlPUD,2008,2008,8,433 ASPEN RIDGE RD,1652
527108090,-10423557.214708516,5170448.455542246,Gilbert,NW,275.0,42.06318167099153,-93.63640760866966,8,2,2Fl,2006,2006,7,4316 HARRISON CIR,2021
528222050,-10424431.970931346,5170303.229000259,Gilbert,NW,157.0,42.0622131258519,-93.64426567751812,8,2,2Fl,2006,2007,6,4210 WELBECK DR,1412
528429110,-10421771.804958371,5166153.874296733,Somerst,NW,283.0,42.04986900501751,-93.64435615174447,24,2,1Fl,2007,2007,8,2416 DALTON CIR,1464
902328100,-10421208.164842747,5165184.718051257,OldTown,DT,144.0,42.02806730612245,-93.61530573469388,20,0,2Fl,1916,1950,7,704 BURNETT AVE,1690
527451410,-10422558.29206542,5168724.595802557,BrDale,NO,88.0,42.05168394906352,-93.62743413389023,2,1,2FlPUD,1971,1971,6,1314 BARKLEY CT,1092
531477050,-10421771.804958371,5166153.874296733,SawyerW,WE,68.0,42.03470048207807,-93.68653540778618,23,5,1Fl,1920,1950,5,,1012
914476130,-10419640.927265609,5160345.007804406,Mitchel,SE,148.0,41.9957645,-93.601227,14,3,SPLIT,1975,1975,6,3007 DIAMOND ST,1210
535453020,-10420173.043427115,5166543.474912727,NAmes,NO,159.0,42.03713342424243,-93.60600708080808,15,1,1Fl,1959,1959,5,1523 GLENDALE AVE,1256
535379100,-10421047.812523996,5166359.136984747,OldTown,DT,120.0,42.035903530612245,-93.61386526530612,20,0,1Fl,1920,1950,5,1408 KELLOGG AVE,1130
905108190,-10427468.382947592,5165606.206667933,Sawyer,WE,135.0,42.03087976925107,-93.67154223074894,22,5,SPLIT,1982,1982,5,934 MESA VERDE PL,858
905201110,-10426775.968202615,5165857.8574839765,Sawyer,WE,185.0,42.032558897959184,-93.6653221632653,22,5,1Fl,1956,1956,6,1124 SCHOLL RD,1188
903227090,-10422118.58107498,5165992.229257898,BrkSide,DT,132.0,42.03345546938776,-93.62348414285714,3,0,1Fl,1939,1950,6,1206 MARSTON AVE,1412
905107300,-10427609.865083024,5165675.342726284,Sawyer,WE,160.0,42.03134108089813,-93.6728131863958,22,5,SPLIT,1978,1978,6,3902 ARKANSAS DR,1040
903401070,-10422339.697247446,5165026.784911143,BrkSide,DT,165.0,42.02701343509556,-93.62547046323006,3,0,1Fl,1920,1950,6,611 RIDGEWOOD AVE,1376
903230100,-10422256.966134354,5165699.223428508,BrkSide,DT,100.0,42.03150042455403,-93.62472727699644,3,0,1Fl,1924,1950,5,1015 CURTISS AVE,1301
527105010,-10423843.13571906,5170047.284232189,Gilbert,NW,190.0,42.060506142537406,-93.6389760808079,8,2,2Fl,1997,1998,5,4025 BERKSHIRE AVE,1629
528480020,-10424364.13706313,5168791.914428078,Somerst,NW,228.0,42.052132986853664,-93.64365631551216,24,2,2Fl,2007,2007,7,2616 KINGSTON DR,1761
527402130,-10422467.558591826,5169277.088097403,NAmes,NO,112.0,42.05536916392078,-93.6266190612291,15,1,1Fl,1969,1969,4,1217 JEFFERSON ST,936
909251080,-10424677.925215982,5163646.592752822,Crawfor,SO,145.0,42.01780281632653,-93.64647512244898,6,4,2Fl,1926,1950,6,507 LYNN AVE,1316
