iter	RMSE
0	72272.80506
1	70070.19771
2	67972.11273
3	65995.34169
4	64045.76334
5	62308.5267
6	60441.41942
7	58800.75219
8	57173.51449
9	55589.46583
10	54193.47169
11	53092.11463
12	51779.46567
13	50460.02138
14	49249.85506
15	48047.30898
16	46797.36709
17	45767.49524
18	44863.02645
19	43800.12348
20	42903.23539
21	42005.9485
22	41103.17718
23	40227.72768
24	39484.82892
25	38786.29539
26	37999.89018
27	37276.87911
28	36604.5827
29	36028.70695
30	35448.61366
31	34861.36525
32	34316.05318
33	33774.39365
34	33233.58668
35	32768.84272
36	32348.31198
37	31962.27173
38	31526.06571
39	31130.36798
40	30793.43584
41	30431.59375
42	30078.59062
43	29783.104
44	29468.01691
45	29177.60155
46	28910.19394
47	28635.76631
48	28354.95829
49	28113.04731
50	27834.88207
51	27596.41055
52	27388.6331
53	27162.49388
54	26974.74316
55	26753.6939
56	26569.71637
57	26399.40525
58	26214.29591
59	26076.28485
60	25891.98304
61	25721.64313
62	25581.11421
63	25421.31576
64	25252.56859
65	25133.43261
66	25018.8625
67	24893.92278
68	24763.41743
69	24655.1478
70	24551.10547
71	24427.22933
72	24283.43349
73	24153.78357
74	24046.81894
75	23949.43085
76	23830.99551
77	23715.0192
78	23597.5843
79	23514.94323
80	23422.29312
81	23329.54065
82	23243.29057
83	23166.36904
84	23075.43947
85	22986.1336
86	22924.69961
87	22866.77358
88	22792.57935
89	22734.21557
90	22657.3877
91	22580.89939
92	22517.75288
93	22438.90589
94	22375.67206
95	22303.71281
96	22211.67729
97	22145.88701
98	22098.461
99	22050.59882
100	21983.85364
101	21933.92139
102	21897.27317
103	21855.95492
104	21811.347
105	21782.13967
106	21709.92158
107	21660.89771
108	21575.2378
109	21532.20456
110	21472.81834
111	21425.96596
112	21384.11212
113	21351.85953
114	21311.66713
115	21256.17149
116	21233.12481
117	21207.89237
118	21176.37387
119	21138.20391
120	21087.39293
121	21039.0851
122	20996.52941
123	20956.01377
124	20921.21401
125	20885.64366
126	20843.8612
127	20806.59483
128	20768.95974
129	20737.249
130	20699.04677
131	20679.84097
132	20622.26449
133	20600.57208
134	20546.38016
135	20512.10245
136	20473.35531
137	20440.26622
138	20394.49105
139	20373.04419
140	20341.63471
141	20318.79272
142	20295.02059
143	20253.15785
144	20234.72067
145	20219.50795
146	20164.35541
147	20122.5038
148	20093.83733
149	20065.80444
150	20020.49292
151	19996.96485
152	19961.47652
153	19925.1227
154	19900.29384
155	19875.938
156	19826.62137
157	19809.82765
158	19775.44761
159	19740.47275
160	19706.92838
161	19679.90029
162	19652.31165
163	19630.58776
164	19616.13805
165	19581.66409
166	19551.97856
167	19531.75209
168	19508.85299
169	19473.05287
170	19449.96091
171	19427.98194
172	19400.39223
173	19355.15785
174	19322.83632
175	19304.2744
176	19273.73718
177	19251.26094
178	19212.81064
179	19174.58598
180	19146.10523
181	19110.70272
182	19081.826
183	19061.5797
184	19038.44787
185	19016.96386
186	18969.78552
187	18944.86017
188	18917.71814
189	18887.78759
190	18863.51014
191	18830.58832
192	18800.10317
193	18767.80662
194	18739.77132
195	18706.66767
196	18695.31681
197	18660.96619
198	18635.59749
199	18623.33941
200	18603.3639
201	18579.4701
202	18563.57586
203	18526.88701
204	18515.87115
205	18494.04143
206	18472.93158
207	18439.01923
208	18410.72135
209	18389.51228
210	18359.69227
211	18335.09469
212	18316.51724
213	18295.81967
214	18281.40227
215	18258.48843
216	18234.487
217	18219.78971
218	18192.44684
219	18168.86911
220	18155.76805
221	18132.09679
222	18102.10325
223	18074.22942
224	18052.68571
225	18037.068
226	18022.04167
227	17998.53908
228	17968.1842
229	17955.88226
230	17936.67885
231	17899.86349
232	17882.29837
233	17853.53517
234	17833.54013
235	17816.94779
236	17787.72056
237	17775.76241
238	17748.80673
239	17729.38809
240	17709.21794
241	17681.73567
242	17674.10683
243	17656.17225
244	17638.69336
245	17627.22358
246	17608.72296
247	17572.3634
248	17561.6074
249	17552.61504
250	17533.94281
251	17525.4227
252	17500.52351
253	17489.80507
254	17468.67834
255	17452.55655
256	17428.41046
257	17407.72867
258	17377.59204
259	17350.42636
260	17337.83513
261	17314.74152
262	17289.42521
263	17277.56052
264	17257.77542
265	17236.7927
266	17227.19965
267	17196.39113
268	17183.70282
269	17165.66472
270	17145.82422
271	17132.35131
272	17107.51347
273	17094.48546
274	17078.19324
275	17061.70761
276	17047.23359
277	17019.90765
278	17007.03607
279	16995.95111
280	16974.35751
281	16951.14879
282	16933.10188
283	16925.52082
284	16918.35209
285	16902.86849
286	16874.14101
287	16853.70783
288	16828.77671
289	16809.41481
290	16788.59729
291	16750.99227
292	16721.39225
293	16700.18584
294	16673.64976
295	16633.20273
296	16614.44902
297	16598.3163
298	16583.01037
299	16577.49598
300	16550.84934
301	16535.57496
302	16524.46056
303	16516.82906
304	16488.17207
305	16472.43681
306	16465.36558
307	16447.47728
308	16430.06644
309	16411.28887
310	16396.5276
311	16380.35887
312	16369.87008
313	16355.06865
314	16350.30498
315	16337.58878
316	16327.56069
317	16313.70012
318	16306.53443
319	16297.41855
320	16286.89812
321	16282.17225
322	16264.4323
323	16254.24236
324	16244.86037
325	16230.83254
326	16225.12762
327	16199.89349
328	16175.29308
329	16169.48117
330	16152.39674
331	16146.27467
332	16121.81183
333	16098.28821
334	16082.39715
335	16066.11859
336	16048.56182
337	16039.33079
338	16019.12708
339	16010.52403
340	16002.74196
341	15988.4051
342	15983.76754
343	15959.6334
344	15956.67129
345	15940.46465
346	15913.7431
347	15903.73936
348	15898.78358
349	15894.39789
350	15883.87804
351	15870.96394
352	15863.41666
353	15852.14882
354	15834.29548
355	15806.71936
356	15804.20958
357	15792.67538
358	15774.60786
359	15765.08717
360	15753.77288
361	15735.80298
362	15720.9581
363	15697.85532
364	15681.1975
365	15675.49385
366	15670.46677
367	15666.34288
368	15651.04993
369	15639.00516
370	15615.80238
371	15595.57131
372	15576.07912
373	15571.97859
374	15546.83877
375	15543.01137
376	15533.0567
377	15510.85146
378	15489.15934
379	15467.31416
380	15450.92522
381	15429.49648
382	15409.71846
383	15390.89844
384	15381.15952
385	15375.02598
386	15358.36387
387	15342.69302
388	15324.48377
389	15304.60267
390	15295.08788
391	15279.37955
392	15272.54023
393	15258.25155
394	15252.55576
395	15247.95246
396	15231.22693
397	15214.39307
398	15200.89924
399	15178.13811
400	15155.64882
401	15146.92385
402	15139.23054
403	15124.66366
404	15109.27463
405	15105.9073
406	15088.69046
407	15067.60315
408	15059.23165
409	15051.09111
410	15030.36254
411	15010.38658
412	14992.55717
413	14972.03549
414	14965.87798
415	14954.89134
416	14935.38188
417	14932.58706
418	14917.96374
419	14900.45017
420	14886.38836
421	14869.88722
422	14861.1615
423	14834.83188
424	14815.10688
425	14801.76576
426	14784.92524
427	14771.33088
428	14757.58623
429	14754.60544
430	14749.82249
431	14735.81218
432	14726.40311
433	14721.73324
434	14705.7917
435	14694.14173
436	14680.1845
437	14666.45231
438	14648.65558
439	14632.39548
440	14614.20624
441	14606.3474
442	14599.16881
443	14581.97956
444	14580.17672
445	14562.38578
446	14560.59293
447	14544.77362
448	14535.95641
449	14533.86048
450	14510.93254
451	14502.56216
452	14488.63374
453	14475.86288
454	14471.89223
455	14453.05396
456	14431.70612
457	14415.74082
458	14399.01839
459	14389.55444
460	14384.81667
461	14375.51943
462	14368.47351
463	14352.30159
464	14344.13116
465	14329.54239
466	14314.55214
467	14296.22653
468	14288.47354
469	14269.14077
470	14266.38946
471	14251.5214
472	14234.64114
473	14228.3259
474	14208.80194
475	14192.89555
476	14181.10329
477	14171.70328
478	14160.49467
479	14153.38229
480	14134.60097
481	14129.69327
482	14121.14919
483	14100.85857
484	14088.31653
485	14077.20269
486	14064.41177
487	14049.90945
488	14042.15203
489	14034.93108
490	14021.05629
491	14004.33754
492	13992.8728
493	13982.75689
494	13975.30166
495	13967.29289
496	13956.61533
497	13946.40175
498	13934.34714
499	13923.03158
500	13910.57941
501	13904.52405
502	13896.33527
503	13880.98616
504	13870.63488
505	13857.47727
506	13848.16667
507	13834.72528
508	13817.02115
509	13812.22573
510	13809.93751
511	13803.58659
512	13795.68507
513	13785.3669
514	13772.41168
515	13759.5148
516	13747.9284
517	13744.85054
518	13734.02367
519	13726.74153
520	13715.52925
521	13701.16179
522	13692.24821
523	13682.14242
524	13678.49881
525	13668.16095
526	13654.5984
527	13647.90069
528	13641.80889
529	13628.92969
530	13614.87509
531	13601.16244
532	13589.38867
533	13578.5225
534	13567.6361
535	13555.39657
536	13542.11911
537	13535.74947
538	13522.92653
539	13513.50282
540	13499.77829
541	13497.64198
542	13494.89288
543	13490.47823
544	13479.78538
545	13468.8584
546	13461.1513
547	13448.96013
548	13437.78549
549	13423.84054
550	13413.95546
551	13401.73508
552	13393.68983
553	13383.85447
554	13378.22273
555	13356.41723
556	13348.65407
557	13331.21063
558	13323.5108
559	13314.25391
560	13300.69905
561	13296.21483
562	13282.94292
563	13264.95348
564	13253.81886
565	13246.53051
566	13244.37102
567	13229.88224
568	13224.41826
569	13212.96892
570	13206.17467
571	13198.6231
572	13185.06474
573	13179.19844
574	13167.91967
575	13152.90823
576	13138.05689
577	13127.66773
578	13116.4206
579	13105.34208
580	13101.69574
581	13092.31884
582	13079.68273
583	13072.07842
584	13062.51438
585	13049.95929
586	13044.31498
587	13041.45874
588	13029.90495
589	13027.95224
590	13026.74267
591	13018.15834
592	13011.14848
593	12995.95401
594	12985.89641
595	12979.72459
596	12971.6841
597	12954.17771
598	12942.78735
599	12929.41183
600	12918.113
601	12906.76682
602	12905.91236
603	12899.17092
604	12890.88346
605	12880.008
606	12865.86519
607	12852.69344
608	12841.39956
609	12836.45242
610	12822.6614
611	12809.46772
612	12795.61034
613	12784.43593
614	12770.15728
