iter	Passed	Remaining
0	1	1748
1	3	1712
2	4	1649
3	6	1566
4	7	1505
5	8	1490
6	10	1487
7	11	1456
8	13	1449
9	14	1435
10	15	1425
11	16	1353
12	17	1346
13	19	1354
14	20	1347
15	21	1343
16	23	1339
17	24	1334
18	25	1329
19	27	1323
20	28	1323
21	29	1320
22	31	1317
23	32	1313
24	33	1322
25	35	1322
26	36	1321
27	37	1318
28	39	1318
29	40	1315
30	42	1313
31	43	1315
32	44	1317
33	46	1318
34	47	1315
35	49	1315
36	50	1312
37	51	1309
38	53	1306
39	54	1303
40	55	1298
41	56	1295
42	58	1293
43	59	1291
44	60	1289
45	62	1286
46	63	1283
47	64	1284
48	66	1283
49	67	1281
50	68	1279
51	70	1277
52	71	1275
53	72	1272
54	73	1270
55	75	1267
56	76	1266
57	77	1264
58	79	1263
59	80	1260
60	81	1258
61	83	1256
62	84	1253
63	85	1251
64	86	1249
65	88	1247
66	89	1245
67	90	1243
68	91	1241
69	93	1239
70	94	1237
71	96	1237
72	97	1235
73	98	1234
74	99	1232
75	101	1230
76	102	1228
77	103	1226
78	104	1223
79	106	1221
80	107	1220
81	108	1218
82	110	1218
83	111	1216
84	112	1214
85	114	1213
86	115	1211
87	116	1209
88	118	1208
89	119	1206
90	120	1205
91	121	1203
92	123	1202
93	124	1200
94	125	1199
95	127	1198
96	128	1197
97	129	1195
98	131	1194
99	132	1192
100	133	1191
101	135	1189
102	136	1187
103	137	1186
104	138	1184
105	172	1452
106	173	1449
107	174	1444
108	176	1440
109	177	1437
110	178	1433
111	180	1429
112	181	1425
113	182	1421
114	184	1417
115	185	1412
116	186	1408
117	187	1404
118	189	1401
119	190	1397
120	191	1393
121	193	1390
122	194	1386
123	195	1383
124	197	1379
125	198	1375
126	199	1372
127	200	1369
128	202	1365
129	203	1362
130	205	1360
131	206	1357
132	207	1354
133	209	1350
134	210	1347
135	211	1344
136	212	1341
137	214	1338
138	215	1335
139	216	1332
140	218	1330
141	219	1327
142	221	1324
143	222	1321
144	223	1318
145	224	1315
146	226	1312
147	227	1310
148	228	1307
149	230	1304
150	231	1301
151	232	1298
152	234	1295
153	235	1292
154	236	1290
155	237	1287
156	239	1284
157	240	1281
158	241	1279
159	243	1276
160	244	1273
161	245	1270
162	247	1268
163	248	1266
164	249	1263
165	250	1260
166	252	1257
167	253	1255
168	254	1252
169	255	1249
170	257	1246
171	258	1244
172	259	1241
173	261	1239
174	262	1237
175	263	1235
176	265	1232
177	266	1229
178	267	1227
179	268	1225
180	270	1222
181	271	1220
182	272	1217
183	274	1215
184	275	1214
185	276	1212
186	278	1210
187	279	1207
188	280	1205
189	282	1202
190	283	1200
191	284	1198
192	286	1196
193	287	1193
194	288	1191
195	289	1188
196	291	1186
197	292	1184
198	293	1181
199	294	1178
200	295	1176
201	297	1173
202	298	1171
203	299	1169
204	301	1167
205	302	1165
206	303	1163
207	304	1160
208	306	1158
209	307	1156
210	308	1154
211	309	1152
212	311	1150
213	312	1147
214	313	1145
215	315	1143
216	316	1141
217	317	1139
218	318	1137
219	320	1135
220	321	1133
221	323	1132
222	324	1130
223	325	1128
224	327	1127
225	328	1124
226	329	1122
227	330	1120
228	332	1118
229	333	1116
230	334	1114
231	336	1112
232	337	1110
233	338	1108
234	339	1106
235	341	1104
236	342	1102
237	343	1100
238	345	1098
239	346	1096
240	347	1095
241	349	1093
242	350	1091
243	351	1089
244	352	1086
245	354	1085
246	355	1083
247	356	1081
248	357	1079
249	359	1077
250	360	1075
251	361	1073
252	362	1071
253	364	1069
254	365	1067
255	366	1066
256	368	1064
257	369	1062
258	370	1060
259	372	1059
260	373	1057
261	374	1055
262	375	1053
263	377	1051
264	378	1049
265	379	1047
266	380	1045
267	382	1044
268	383	1042
269	384	1040
270	386	1038
271	387	1036
272	388	1034
273	389	1033
274	391	1031
275	392	1029
276	393	1027
277	395	1026
278	396	1024
279	397	1022
280	398	1020
281	400	1018
282	401	1017
283	402	1015
284	403	1013
285	405	1011
286	406	1009
287	407	1008
288	409	1006
289	410	1004
290	411	1003
291	412	1001
292	414	999
293	415	998
294	416	996
295	418	994
296	419	993
297	420	991
298	422	989
299	423	987
300	424	986
301	425	984
302	427	983
303	428	981
304	429	979
305	431	978
306	432	976
307	433	974
308	435	972
309	436	971
310	437	969
311	438	967
312	440	965
313	441	964
314	442	962
315	443	960
316	445	959
317	446	958
318	448	956
319	449	954
320	450	952
321	451	951
322	452	949
323	454	947
324	455	946
325	456	944
326	458	942
327	459	942
328	461	940
329	462	938
330	463	936
331	464	935
332	466	933
333	467	931
334	468	930
335	469	928
336	471	926
337	472	925
338	474	924
339	475	923
340	476	921
341	478	920
342	479	918
343	480	916
344	481	914
345	483	913
346	484	911
347	485	909
348	486	908
349	488	906
350	489	905
351	491	904
352	493	903
353	494	902
354	495	900
355	497	899
356	498	897
357	499	895
358	500	894
359	502	892
360	503	891
361	504	889
362	506	888
363	507	887
364	509	885
365	510	884
366	511	882
367	512	880
368	514	879
369	515	877
370	516	876
371	518	874
372	519	873
373	520	871
374	521	869
375	523	868
376	524	866
377	525	865
378	527	863
379	528	862
380	529	860
381	531	859
382	532	857
383	533	856
384	535	854
385	536	853
386	537	851
387	539	850
388	540	849
389	541	847
390	543	846
391	544	844
392	545	842
393	547	841
394	548	839
395	549	838
396	550	836
397	552	835
398	553	833
399	554	832
400	556	830
401	557	829
402	558	827
403	560	826
404	561	824
405	562	823
406	563	821
407	565	820
408	566	818
409	567	817
410	569	815
411	570	814
412	571	812
413	573	811
414	574	809
415	575	808
416	576	806
417	578	804
418	579	803
419	580	802
420	582	800
421	583	799
422	584	797
423	586	796
424	587	795
425	588	793
426	590	792
427	591	790
428	592	789
429	594	787
430	595	786
431	596	784
432	598	783
433	599	781
434	600	780
435	601	778
436	603	777
437	604	775
438	605	774
439	607	772
440	608	771
441	609	769
442	611	768
443	612	766
444	613	765
445	614	763
446	616	762
447	617	760
448	618	759
449	619	757
450	621	756
451	623	755
452	624	754
453	626	753
454	628	752
455	630	751
456	631	750
457	633	749
458	634	747
459	635	746
460	636	744
461	638	743
462	639	741
463	640	740
464	642	738
465	643	737
466	644	735
467	646	734
468	647	732
469	648	731
470	649	729
471	651	728
472	652	726
473	653	725
474	654	723
475	656	722
476	657	720
477	658	719
478	660	717
479	661	716
480	662	715
481	664	713
482	665	712
483	666	710
484	668	709
485	669	707
