PID,lat_long
909176150,"(42.01856448979592, -93.65161918367347)"
905476230,"(42.024855315930424, -93.66367099341755)"
905476230,"(42.024855315930424, -93.66367099341755)"
911128020,"(42.021547615297024, -93.61406809992513)"
535377150,"(42.03739146938776, -93.61220695918368)"
534177230,"(42.04455376067282, -93.63181831620726)"
908128060,"(42.01900877172312, -93.67298690279817)"
902135020,"(42.031162, -93.61256091846626)"
528228540,"(42.06328412279648, -93.6415688852472)"
923426010,"(41.986495735956744, -93.6036188257733)"
908186050,"(42.0189558314751, -93.6688922777322)"
528186170,0
923426070,"(41.98649987838884, -93.60213991860324)"
902204080,"(42.03216732653061, -93.6087965510204)"
535105100,"(42.04690161396658, -93.61572103026556)"
907405020,"(42.01590809090909, -93.68765221212121)"
531382110,"(42.03586941394644, -93.68920687419867)"
906380120,"(42.02481975297594, -93.68911130789053)"
909101060,"(42.02208247765018, -93.65692684113985)"
534152050,"(42.04331646337044, -93.63727919577093)"
923252075,"(41.98752773737374, -93.60618059595959)"
531376060,"(42.037556920296716, -93.691149759933)"
902201120,"(42.03351832653061, -93.6088355510204)"
923228080,"(41.99215551070729, -93.60308638866339)"
902326030,"(42.02935814285714, -93.61228857142856)"
527451330,"(42.051676299375686, -93.62760442259349)"
528218100,"(42.06183478929063, -93.64514075104287)"
916386140,"(41.994931209457846, -93.650374)"
533221090,"(42.046175343583606, -93.64673497939646)"
534128010,"(42.04903420384354, -93.63264578650906)"
528106110,"(42.06135122133348, -93.6568043437672)"
902206260,"(42.03109366137248, -93.61045453926471)"
528222090,"(42.06322648533865, -93.64433362330249)"
528218150,"(42.06273418076429, -93.64609380939285)"
903400180,"(42.02954372815348, -93.62737676136398)"
535453210,"(42.037273779743664, -93.60675880919582)"
916386010,"(41.99523381632653, -93.64923497959184)"
907181090,"(42.01738835191348, -93.69047624779365)"
902206020,"(42.03195016326531, -93.61018020408163)"
902206020,"(42.03195016326531, -93.61018020408163)"
527327050,"(42.05450581967213, -93.6315601147541)"
527455250,"(42.048851159119046, -93.62539763059881)"
527455250,"(42.048851159119046, -93.62539763059881)"
528326110,"(42.055529953039084, -93.65441695383424)"
914452190,"(41.99419902380953, -93.60742948809524)"
914452190,"(41.99419902380953, -93.60742948809524)"
535425060,"(42.04129604081633, -93.60521567346939)"
532376250,"(42.035861571428576, -93.672579)"
532376250,"(42.035861571428576, -93.672579)"
535379110,"(42.03594679591837, -93.61386489795919)"
528118010,"(42.06042873469387, -93.65768375510204)"
528235160,"(42.05971268357939, -93.64377151492386)"
905478030,"(42.024861032246065, -93.66069363575488)"
902106130,"(42.031462469387755, -93.62020822448979)"
902102080,"(42.03339248979592, -93.61561781632653)"
909176170,"(42.01869102040816, -93.65162163265306)"
