PID,MSSubClass,Foundation,PavedDrive,BsmtUnfSF,AllBathBsmt,AllBathAbv,HeatingQC,Neighborhood,YearBuilt,SalePrice,GarageCars,PorchArea,GoodLivArea,CentralAir,KitchenQual,ExterQual,BsmtCond,FireplaceQu,GarageQual,HasPool
526301100,1Fl,CBlock,P,441.0,1.0,1.0,Fa,NAmes,1960,215000,2.0,272,2295.0,Y,TA,TA,Gd,Gd,TA,0
526302030,1Fl,CBlock,Y,171.0,1.0,2.0,Gd,NAmes,1954,149900,2.0,280,2300.0,Y,TA,TA,TA,None,TA,0
526302040,1Fl,CBlock,Y,235.0,1.0,1.0,TA,NAmes,1956,157500,1.0,280,1797.0,Y,Gd,TA,TA,TA,TA,0
526302110,1Fl,CBlock,Y,318.0,0.0,1.0,TA,NAmes,1956,124500,1.0,0,1446.0,Y,TA,TA,Fa,None,TA,0
526302120,1Fl,CBlock,Y,490.0,0.0,1.5,Fa,NAmes,1957,169000,3.0,0,2924.0,Y,TA,TA,TA,TA,TA,0
526350040,1Fl,CBlock,Y,270.0,0.0,1.0,TA,NAmes,1961,105000,1.0,260,1508.0,Y,TA,TA,TA,None,TA,0
526351010,1Fl,CBlock,Y,406.0,0.0,1.5,TA,NAmes,1958,172000,1.0,429,2252.0,Y,Gd,TA,TA,None,TA,0
526351030,1Fl,CBlock,Y,245.0,1.0,1.0,Ex,NAmes,1958,176500,2.0,241,2353.0,Y,TA,Ex,TA,TA,TA,0
526351100,1Fl,CBlock,Y,590.0,1.0,2.0,TA,NAmes,1974,157000,2.0,101,2278.0,Y,TA,TA,TA,Gd,TA,0
526352080,1Fl,CBlock,Y,749.0,0.0,2.0,TA,NAmes,1971,167300,2.0,44,2425.0,Y,TA,TA,TA,Gd,TA,0
526352090,1Fl,CBlock,Y,499.0,1.0,1.0,TA,NAmes,1970,167000,2.0,176,2055.0,Y,TA,TA,Gd,Po,TA,0
526353030,1Fl,CBlock,Y,1045.0,1.0,2.5,Ex,NAmes,1968,244000,2.0,0,3175.0,Y,Ex,Gd,TA,TA,TA,0
526353050,1Fl,CBlock,Y,340.0,0.0,2.5,Ex,NAmes,1970,237500,2.0,42,2982.0,Y,TA,TA,TA,Gd,TA,0
526354020,1Fl,CBlock,Y,1851.0,0.0,2.0,Gd,NAmes,1969,192100,2.0,146,1851.0,Y,TA,TA,TA,TA,TA,0
526354070,2Fl,CBlock,Y,176.0,0.0,2.5,TA,NAmes,1969,206900,2.0,280,2888.0,Y,TA,TA,TA,Gd,TA,0
526355080,SPLIT,CBlock,Y,542.0,1.0,2.5,Gd,NAmes,1972,345000,2.0,380,4114.0,Y,Ex,Gd,TA,TA,TA,0
526355170,1Fl,CBlock,Y,343.0,1.0,2.0,Ex,NAmes,1973,244000,2.0,300,4103.0,Y,TA,TA,TA,Gd,TA,0
526355190,1Fl,PConc,Y,1043.0,1.0,2.0,Ex,NAmes,1970,268000,2.0,512,3391.0,Y,Gd,Gd,Gd,TA,TA,0
527105010,2Fl,PConc,Y,137.0,0.0,2.5,Gd,Gilbert,1997,189900,2.0,246,2420.0,Y,TA,TA,TA,TA,TA,0
527105030,2Fl,PConc,Y,324.0,0.0,2.5,Ex,Gilbert,1998,195500,2.0,396,2206.0,Y,Gd,TA,TA,Gd,TA,0
527105050,2Fl,PConc,Y,220.0,0.0,2.5,Ex,Gilbert,1997,187500,2.0,36,2310.0,Y,TA,TA,TA,TA,TA,0
527105060,2Fl,PConc,Y,113.0,1.0,2.5,Ex,Gilbert,1997,183500,2.0,493,2225.0,Y,TA,TA,TA,TA,TA,0
527105070,2Fl,PConc,Y,98.0,0.0,2.5,Ex,Gilbert,1997,189500,2.0,282,2455.0,Y,TA,TA,TA,TA,TA,0
527105130,2Fl,PConc,Y,158.0,0.0,2.5,Ex,Gilbert,2003,270000,3.0,166,3133.0,Y,Gd,Gd,TA,Gd,TA,0
527105140,2Fl,PConc,Y,847.0,0.0,2.5,Ex,Gilbert,2003,225000,2.0,148,1733.0,Y,Gd,Gd,TA,Gd,TA,0
527106010,2Fl,PConc,Y,964.0,0.0,2.5,Gd,Gilbert,1997,222000,2.0,0,2236.0,Y,Gd,TA,TA,TA,TA,0
527106050,2Fl,PConc,Y,204.0,0.0,2.5,Gd,Gilbert,1995,165000,2.0,241,1946.0,Y,TA,TA,TA,TA,TA,0
527106140,2Fl,PConc,Y,75.0,0.0,2.5,Ex,Gilbert,1998,195500,2.0,182,2455.0,Y,TA,TA,TA,None,TA,0
527106150,2Fl,PConc,Y,115.0,1.0,2.5,Gd,Gilbert,1998,192000,2.0,138,2466.0,Y,TA,TA,TA,TA,TA,0
527107010,2Fl,PConc,Y,778.0,0.0,2.5,Gd,Gilbert,1996,173000,2.0,252,1774.0,Y,TA,TA,TA,TA,TA,0
527107020,2Fl,PConc,Y,781.0,0.0,2.5,Gd,Gilbert,1995,170000,2.0,84,1671.0,Y,TA,TA,TA,TA,TA,0
527107030,2Fl,PConc,Y,99.0,0.0,2.5,Gd,Gilbert,1995,187500,2.0,359,2090.0,Y,TA,TA,TA,TA,TA,0
527107040,2Fl,PConc,Y,806.0,0.0,2.5,Gd,Gilbert,1995,168000,2.0,40,1572.0,Y,TA,TA,TA,TA,TA,0
527107090,1Fl,PConc,Y,898.0,1.0,2.0,Gd,Gilbert,1996,177900,2.0,39,1834.0,Y,Gd,Gd,TA,None,TA,0
527107120,2Fl,PConc,Y,821.0,0.0,2.5,Gd,Gilbert,1996,202000,2.0,402,1776.0,Y,TA,TA,TA,TA,TA,0
527107130,SPLIT,PConc,Y,100.0,0.0,2.5,Gd,Gilbert,1996,189000,2.0,120,1912.0,Y,TA,TA,TA,TA,TA,0
527107210,2Fl,PConc,Y,125.0,0.5,2.5,Ex,Gilbert,1996,175000,2.0,286,2050.0,Y,TA,TA,TA,TA,TA,0
527107240,2Fl,PConc,Y,88.0,1.0,2.5,Gd,Gilbert,1997,185000,2.0,170,2225.0,Y,TA,TA,TA,TA,TA,0
527108030,2Fl,PConc,Y,1074.0,0.0,2.5,Ex,Gilbert,2005,250000,2.0,119,2064.0,Y,Gd,Gd,TA,Gd,TA,0
527108040,2Fl,PConc,Y,893.0,0.0,2.5,Ex,Gilbert,2005,239900,3.0,116,1801.0,Y,Gd,Gd,TA,Gd,TA,0
527108060,2Fl,PConc,Y,1640.0,1.0,2.5,Ex,Gilbert,2005,309000,3.0,390,2272.0,Y,Gd,Gd,TA,Gd,TA,0
527108070,1Fl,PConc,Y,426.0,1.0,2.0,Ex,Gilbert,2006,377500,3.0,240,3066.0,Y,Ex,Ex,TA,Gd,TA,0
527108090,2Fl,PConc,Y,868.0,0.0,2.5,Ex,Gilbert,2006,274725,2.0,100,2021.0,Y,Gd,Gd,Gd,Gd,TA,0
527110020,SPLIT,PConc,Y,384.0,0.0,2.5,Gd,Gilbert,1995,168500,2.0,192,1474.0,Y,TA,TA,TA,TA,TA,0
527110080,2Fl,PConc,Y,612.0,0.5,2.0,Gd,Gilbert,1997,177000,2.0,75,1652.0,Y,TA,TA,TA,None,TA,0
527110120,2Fl,PConc,Y,916.0,0.0,2.5,Gd,Gilbert,1997,169000,2.0,138,1600.0,Y,TA,TA,TA,TA,TA,0
527110130,SPLIT,PConc,Y,384.0,0.0,2.5,Gd,Gilbert,1997,161500,2.0,0,1384.0,Y,TA,TA,TA,TA,TA,0
527126030,1FlPUD,PConc,Y,298.0,1.0,2.0,Ex,StoneBr,2000,251000,2.0,144,2848.0,Y,Ex,Gd,TA,None,TA,0
527127100,1FlPUD,PConc,Y,243.0,1.0,2.0,Ex,StoneBr,2004,375000,2.0,239,4487.0,Y,Gd,Gd,TA,Gd,TA,0
527127140,1FlPUD,PConc,Y,440.0,1.0,1.5,Ex,StoneBr,2001,286000,2.0,344,2746.0,Y,Ex,Gd,TA,Gd,TA,0
527127150,1FlPUD,PConc,Y,722.0,1.0,2.0,Ex,StoneBr,2001,213500,2.0,170,1954.0,Y,Gd,Gd,TA,None,TA,0
527131030,1FlPUD,PConc,Y,343.0,1.0,2.0,Ex,StoneBr,2000,278000,2.0,271,2817.0,Y,Ex,Gd,TA,Ex,TA,0
527131110,1FlPUD,PConc,Y,1008.0,1.0,1.5,Ex,StoneBr,1997,247900,2.0,0,2338.0,Y,Gd,Gd,TA,TA,TA,0
527132090,1FlPUD,PConc,Y,1077.0,1.0,2.0,Ex,StoneBr,1998,240000,2.0,211,1819.0,Y,TA,TA,TA,None,TA,0
527140090,1FlPUD,PConc,Y,604.0,1.0,2.0,Gd,StoneBr,1993,180000,2.0,334,2070.0,Y,Gd,Gd,TA,TA,TA,0
527145080,1FlPUD,PConc,Y,1017.0,0.0,2.0,Ex,StoneBr,1992,191500,2.0,226,1543.0,Y,Gd,Gd,TA,None,TA,0
527145090,1FlPUD,PConc,Y,1280.0,0.0,2.0,Ex,StoneBr,1992,180000,2.0,226,1280.0,Y,Gd,Gd,TA,None,TA,0
527146010,1FlPUD,PConc,Y,846.0,1.0,2.0,Ex,StoneBr,1995,239500,2.0,102,2475.0,Y,Gd,Gd,TA,None,TA,0
527146030,1FlPUD,PConc,Y,415.0,1.0,2.0,Ex,StoneBr,1995,236500,2.0,389,2796.0,Y,Gd,Gd,TA,TA,TA,0
527146135,2FlPUD,PConc,Y,2062.0,0.0,2.5,Ex,StoneBr,1994,270000,2.0,180,2687.0,Y,Gd,Gd,TA,None,TA,0
527158020,1Fl,PConc,Y,455.0,0.5,2.0,Gd,Gilbert,1993,183500,2.0,170,1874.0,Y,TA,TA,TA,TA,TA,0
527158090,SPLIT,PConc,Y,206.0,0.0,2.5,Gd,Gilbert,1994,160000,2.0,320,1880.0,Y,TA,TA,TA,TA,TA,0
527161010,2Fl,PConc,Y,926.0,0.0,2.5,Ex,Gilbert,1997,181000,2.0,36,1604.0,Y,TA,TA,TA,TA,TA,0
527161040,SPLIT,PConc,Y,195.0,0.0,2.5,Gd,Gilbert,1998,177500,2.0,256,1571.0,Y,TA,Gd,TA,TA,TA,0
527161090,2Fl,PConc,Y,52.0,1.0,2.5,Gd,Gilbert,1999,180000,2.0,304,2585.0,Y,TA,TA,TA,TA,TA,0
