PID,lat_long,x_merc,y_merc,Neighborhood,Sector,Color
909176150,"(42.01856448979592, -93.65161918367347)",-10425250.559492102,5163760.720363054,SWISU,SW,purple
905476230,"(42.024855315930424, -93.66367099341755)",-10426592.160815949,5164703.377285634,Edwards,SW,purple
905476230,"(42.024855315930424, -93.66367099341755)",-10426592.160815949,5164703.377285634,Edwards,SW,purple
911128020,"(42.021547615297024, -93.61406809992513)",-10421070.3919705,5164207.719008793,IDOTRR,DT,dodgerblue
535377150,"(42.03739146938776, -93.61220695918368)",-10420863.210730867,5166582.151480443,OldTown,DT,dodgerblue
534177230,"(42.04455376067282, -93.63181831620726)",-10423046.337008499,5167655.719510569,NWAmes,NO,green
908128060,"(42.01900877172312, -93.67298690279817)",-10427629.203104477,5163827.291298559,Edwards,SW,purple
902135020,"(42.031162, -93.61256091846626)",-10420902.613297965,5165648.504091299,OldTown,DT,dodgerblue
528228540,"(42.06328412279648, -93.6415688852472)",-10424131.76538897,5170463.817600481,Blmngtn,NO,green
923426010,"(41.986495735956744, -93.6036188257733)",-10419907.18409276,5158956.785386048,Mitchel,SE,red
908186050,"(42.0189558314751, -93.6688922777322)",-10427173.391527144,5163819.358739377,Edwards,SW,purple
528186170,0,-10421771.804958373,5166153.874296733,NridgHt,NW,yellow
923426070,"(41.98649987838884, -93.60213991860324)",-10419742.552899659,5158957.40577067,Mitchel,SE,red
902204080,"(42.03216732653061, -93.6087965510204)",-10420483.565830734,5165799.172127037,OldTown,DT,dodgerblue
535105100,"(42.04690161396658, -93.61572103026556)",-10421254.395334315,5168007.669574904,NAmes,NO,green
907405020,"(42.01590809090909, -93.68765221212121)",-10429261.737870643,5163362.696862511,CollgCr,SW,purple
531382110,"(42.03586941394644, -93.68920687419867)",-10429434.802061463,5166354.023588935,SawyerW,NW,yellow
906380120,"(42.02481975297594, -93.68911130789053)",-10429424.163668701,5164698.048046904,CollgCr,SW,purple
