iter	Passed	Remaining
0	0	4585
1	1	5902
2	1	5308
3	2	5056
4	2	5963
5	3	5653
6	3	5434
7	4	5279
8	4	5170
9	5	5051
10	5	4970
11	5	4877
12	6	4838
13	6	4783
14	7	4765
15	7	4855
16	8	4873
17	8	4887
18	9	4929
19	9	4954
20	10	4949
21	10	4928
22	11	4926
23	11	4942
24	12	4958
25	13	5009
26	13	5006
27	14	5037
28	14	5042
29	15	5032
30	15	5021
31	16	5054
32	16	5043
33	17	5022
34	17	5060
35	18	5110
36	19	5145
37	19	5144
38	20	5134
39	20	5143
40	21	5309
41	22	5391
42	23	5393
43	23	5403
44	24	5438
45	25	5434
46	25	5442
47	26	5433
48	26	5452
49	27	5445
50	27	5450
51	28	5448
52	28	5433
53	29	5413
54	29	5415
55	30	5394
56	30	5382
57	31	5365
58	31	5343
59	32	5330
60	32	5318
61	33	5325
62	33	5337
63	34	5336
64	34	5316
65	35	5314
66	35	5295
67	36	5269
68	36	5277
69	37	5256
70	37	5239
71	37	5228
72	38	5211
73	38	5194
74	39	5231
75	40	5244
76	40	5242
77	41	5239
78	41	5220
79	41	5207
80	42	5190
81	42	5179
82	43	5167
83	43	5162
84	44	5144
85	44	5124
86	44	5118
87	45	5105
88	45	5095
89	46	5087
90	46	5081
91	47	5076
92	47	5067
93	47	5051
94	48	5042
95	48	5034
96	49	5025
97	49	5012
98	49	4998
99	50	4986
100	50	4975
101	51	4967
102	51	4953
103	51	4944
104	52	4947
105	52	4942
106	53	4936
107	53	4932
108	54	4925
109	55	4947
110	55	4968
111	56	4985
112	57	5001
113	57	5020
114	58	5035
115	59	5041
116	59	5040
117	60	5041
118	60	5041
119	61	5035
120	61	5031
121	62	5026
122	62	5027
123	63	5025
124	63	5015
125	64	5026
126	64	5020
127	65	5018
128	65	5021
129	66	5022
130	66	5038
131	67	5064
132	68	5061
133	68	5065
134	69	5064
135	69	5074
136	70	5089
137	71	5086
138	71	5079
139	72	5073
140	72	5076
141	73	5069
142	73	5068
143	74	5065
144	74	5055
145	74	5044
146	75	5036
147	75	5046
148	76	5040
149	76	5030
150	76	5018
151	77	5006
152	77	4995
153	77	4983
154	78	4972
155	78	4960
156	78	4947
157	79	4936
158	79	4928
159	79	4919
160	80	4907
161	80	4895
162	80	4887
163	81	4876
164	81	4865
165	81	4854
166	82	4845
167	82	4838
168	83	4831
169	83	4821
170	83	4815
171	84	4807
172	84	4799
173	84	4795
174	85	4788
175	85	4782
176	86	4774
177	86	4770
178	86	4762
179	87	4755
180	87	4748
181	87	4741
182	88	4733
183	88	4730
184	89	4736
185	89	4735
186	90	4738
187	90	4734
188	91	4728
189	91	4721
190	91	4713
191	92	4706
192	92	4701
193	92	4697
194	93	4690
195	93	4686
196	94	4693
197	94	4697
198	95	4690
199	95	4686
200	96	4680
201	96	4673
202	96	4667
203	97	4660
204	97	4657
205	97	4651
206	98	4643
207	98	4635
208	98	4631
209	99	4624
210	99	4618
211	99	4612
212	100	4604
213	100	4599
214	100	4592
215	101	4587
216	101	4583
217	102	4577
218	102	4570
219	102	4563
220	102	4556
221	103	4548
222	103	4544
223	103	4538
224	104	4531
225	104	4524
226	104	4518
227	105	4513
228	105	4511
229	106	4505
230	106	4500
231	106	4494
232	107	4489
233	107	4485
234	107	4479
235	108	4473
236	108	4468
237	108	4462
238	109	4455
239	109	4449
240	109	4443
241	110	4437
242	110	4433
243	110	4427
244	111	4422
245	111	4416
246	111	4411
247	112	4408
248	112	4407
249	113	4408
250	113	4404
251	113	4401
252	114	4396
253	114	4391
254	114	4386
255	115	4381
256	115	4376
257	115	4371
258	116	4365
259	116	4361
260	116	4356
261	117	4353
262	117	4350
263	117	4345
264	118	4342
265	118	4338
266	118	4333
267	119	4330
268	119	4325
269	119	4321
270	120	4316
271	120	4313
272	120	4308
273	121	4304
274	121	4298
275	121	4295
276	122	4292
277	122	4287
278	122	4285
279	123	4281
280	123	4276
281	123	4271
282	124	4267
283	124	4265
284	125	4262
285	125	4258
286	125	4253
287	126	4249
288	126	4245
289	126	4242
290	127	4238
291	127	4236
292	127	4232
293	128	4231
294	128	4228
295	128	4225
296	129	4221
297	129	4217
298	129	4214
299	130	4211
300	130	4209
301	131	4211
302	131	4209
303	131	4207
304	132	4207
305	132	4204
306	133	4203
307	133	4201
308	133	4197
309	134	4193
310	134	4190
311	134	4186
312	135	4182
313	135	4179
314	135	4176
315	136	4173
316	136	4170
317	136	4166
318	137	4162
319	137	4159
320	137	4155
321	138	4151
322	138	4148
323	138	4146
324	139	4143
325	139	4141
326	139	4138
327	140	4135
328	140	4133
329	140	4130
330	141	4127
331	141	4128
332	142	4126
333	142	4123
334	142	4120
335	143	4118
336	143	4114
337	143	4111
338	144	4108
339	144	4105
340	144	4103
341	145	4100
342	145	4096
343	145	4093
344	146	4090
345	146	4086
346	146	4083
347	147	4080
348	147	4076
349	147	4074
350	148	4070
351	148	4069
352	148	4066
353	149	4063
354	149	4060
355	149	4060
356	150	4061
357	150	4063
358	151	4064
359	151	4061
360	152	4059
361	152	4057
362	152	4054
363	153	4052
364	153	4049
365	153	4048
366	154	4044
367	154	4042
368	154	4039
369	155	4038
370	155	4035
371	155	4033
372	156	4032
373	156	4030
374	156	4029
375	157	4028
376	157	4026
377	158	4025
378	158	4023
379	158	4020
380	159	4017
381	159	4015
382	159	4014
383	160	4011
384	160	4008
385	160	4006
386	161	4004
387	161	4001
388	161	3999
389	162	3997
390	162	3994
391	162	3992
392	163	3990
393	163	3990
394	164	3988
395	164	3986
396	164	3984
397	165	3981
398	165	3978
399	165	3975
400	166	3973
401	166	3972
402	166	3970
403	167	3968
404	167	3966
405	167	3964
406	168	3962
407	168	3959
408	168	3957
409	169	3957
410	169	3957
411	169	3955
412	170	3953
413	170	3950
414	170	3948
415	171	3947
416	171	3947
417	172	3945
418	172	3944
419	172	3942
420	173	3940
421	173	3940
422	173	3937
423	174	3936
424	174	3933
425	174	3931
426	175	3929
427	175	3927
428	175	3925
429	176	3923
430	176	3921
431	176	3919
432	177	3916
433	177	3914
434	177	3912
435	178	3910
436	178	3908
437	178	3905
438	179	3903
439	179	3903
440	180	3902
441	180	3899
442	180	3898
443	181	3896
444	181	3895
445	181	3893
446	182	3891
447	182	3889
448	182	3886
449	183	3885
450	183	3884
451	183	3883
452	184	3881
453	184	3880
454	184	3878
455	185	3875
456	185	3873
457	185	3871
458	186	3871
459	186	3870
460	187	3870
461	188	3900
462	189	3899
463	189	3898
464	190	3897
465	190	3897
466	191	3899
467	191	3899
468	191	3899
469	192	3898
470	192	3896
471	193	3896
472	193	3895
473	193	3894
474	194	3893
475	194	3893
476	195	3893
477	195	3894
478	195	3892
479	196	3891
480	196	3889
481	196	3887
482	197	3885
483	197	3883
484	197	3880
485	198	3878
486	198	3878
487	198	3876
488	199	3874
489	199	3872
490	199	3870
491	200	3869
492	200	3867
493	200	3866
494	201	3865
495	201	3865
496	202	3863
497	202	3861
498	202	3860
499	203	3860
500	203	3859
501	204	3860
502	204	3859
503	204	3859
504	205	3859
505	205	3860
506	206	3862
507	206	3863
508	207	3868
509	208	3871
510	208	3870
511	208	3869
512	209	3868
513	209	3869
514	210	3867
515	210	3867
516	210	3867
517	211	3868
518	211	3867
519	212	3868
520	212	3867
521	212	3865
522	213	3865
523	213	3866
524	214	3866
525	214	3866
526	215	3865
527	215	3864
528	215	3863
529	216	3862
530	216	3861
531	216	3859
532	217	3859
533	217	3860
534	218	3859
535	218	3858
536	218	3859
537	219	3857
538	219	3856
539	220	3855
540	220	3854
541	220	3853
542	221	3852
543	221	3851
544	221	3850
545	222	3848
546	222	3846
547	222	3844
548	223	3842
549	223	3841
550	223	3840
551	224	3839
552	224	3839
553	225	3839
554	225	3840
555	226	3839
556	226	3838
557	226	3837
558	227	3836
559	227	3835
560	227	3833
561	228	3833
562	228	3832
563	229	3831
564	229	3830
565	229	3830
566	230	3830
567	230	3830
568	231	3830
569	231	3830
570	231	3830
571	232	3830
572	232	3829
573	233	3830
574	233	3830
575	234	3828
576	234	3828
577	234	3827
578	235	3826
579	235	3825
580	235	3823
581	236	3822
582	236	3821
583	236	3819
584	237	3820
585	237	3819
586	238	3818
587	238	3818
588	238	3817
589	239	3816
590	239	3815
591	240	3815
592	240	3815
593	240	3813
594	241	3812
595	241	3810
596	241	3809
597	242	3808
598	242	3806
599	242	3804
600	243	3804
601	243	3804
602	244	3804
603	244	3804
604	244	3803
605	245	3802
606	245	3802
607	246	3801
608	246	3801
609	246	3801
610	247	3799
611	247	3798
612	247	3796
613	248	3794
614	248	3793
615	248	3792
616	249	3791
617	249	3791
618	250	3790
619	250	3788
620	250	3787
621	251	3786
622	251	3785
623	251	3784
624	252	3782
625	252	3781
626	252	3780
627	253	3778
628	253	3778
629	253	3777
630	254	3775
631	254	3774
632	254	3773
633	255	3771
634	255	3770
635	256	3769
636	256	3768
637	256	3766
638	256	3764
639	257	3763
640	257	3762
641	258	3760
642	258	3759
643	258	3758
644	259	3757
645	259	3755
646	259	3754
647	260	3752
648	260	3751
649	260	3749
650	260	3748
651	261	3747
652	261	3745
653	262	3746
654	262	3745
655	262	3745
656	263	3745
657	263	3743
658	264	3742
659	264	3741
660	264	3740
661	265	3738
662	265	3737
663	265	3736
664	266	3734
665	266	3733
666	266	3732
667	267	3730
668	267	3729
669	267	3728
670	268	3727
671	268	3726
672	268	3725
673	269	3724
674	269	3724
675	269	3722
676	270	3722
677	270	3721
678	271	3720
679	271	3719
680	271	3718
681	272	3717
682	272	3716
683	272	3714
684	273	3713
685	273	3711
686	273	3710
687	274	3709
688	274	3708
689	274	3706
690	275	3705
691	275	3705
692	275	3703
693	276	3703
694	276	3703
695	276	3702
696	277	3701
697	277	3699
698	277	3698
699	278	3696
700	278	3695
701	278	3693
702	279	3692
703	279	3691
704	279	3690
705	280	3689
706	280	3687
707	280	3686
708	281	3687
709	281	3689
710	282	3690
711	282	3689
712	283	3688
713	283	3686
714	283	3685
715	284	3683
716	284	3682
717	284	3681
718	285	3680
719	285	3679
720	285	3678
721	286	3676
722	286	3675
723	286	3674
724	287	3673
725	287	3672
726	287	3671
727	288	3670
728	288	3669
729	288	3668
730	289	3667
731	289	3666
732	289	3665
733	290	3663
734	290	3662
735	290	3661
736	291	3660
737	291	3658
738	291	3657
739	292	3657
740	292	3656
741	292	3655
742	293	3654
743	293	3652
744	293	3651
745	294	3651
746	294	3649
747	294	3648
748	295	3647
749	295	3646
750	295	3645
751	296	3644
752	296	3644
753	297	3644
754	297	3643
755	297	3642
756	298	3641
757	298	3640
758	298	3639
759	299	3638
760	299	3637
761	299	3636
762	300	3636
763	300	3638
764	301	3637
765	301	3636
766	302	3638
767	302	3638
768	303	3638
769	303	3636
770	303	3635
771	304	3634
772	304	3633
773	304	3632
774	305	3632
775	305	3630
776	305	3629
777	306	3628
778	306	3626
779	306	3626
780	307	3624
781	307	3624
782	307	3622
783	308	3622
784	308	3620
785	308	3619
786	309	3619
787	309	3618
788	309	3617
789	310	3616
790	310	3615
791	310	3614
792	311	3613
793	311	3612
794	311	3612
795	312	3611
796	312	3609
797	312	3609
798	313	3608
799	313	3607
800	314	3606
801	314	3605
802	314	3603
803	315	3603
804	315	3602
805	315	3601
806	316	3600
807	316	3598
808	316	3597
809	316	3596
810	317	3595
811	317	3594
812	317	3593
813	318	3592
814	318	3592
815	319	3592
816	319	3593
817	320	3592
818	320	3591
819	320	3590
820	321	3589
821	321	3588
822	321	3587
823	322	3587
824	322	3586
825	322	3585
826	323	3584
827	323	3582
828	323	3581
829	324	3580
830	324	3580
831	324	3579
832	325	3577
833	325	3576
834	325	3575
835	326	3574
836	326	3573
837	326	3573
838	327	3571
839	327	3570
840	327	3570
841	328	3568
842	328	3567
843	328	3566
844	329	3565
845	329	3565
846	329	3564
847	330	3563
848	330	3562
849	330	3561
850	331	3560
851	331	3560
852	331	3559
853	332	3558
854	332	3556
855	332	3556
856	333	3554
857	333	3554
858	333	3553
859	334	3552
860	334	3551
861	334	3550
862	335	3549
863	335	3548
864	335	3547
865	336	3546
866	336	3545
867	336	3544
868	337	3544
869	337	3543
870	338	3543
871	338	3542
872	338	3542
873	339	3541
874	339	3540
875	339	3539
876	340	3538
877	340	3537
878	340	3536
879	341	3535
880	341	3534
881	341	3533
882	342	3532
883	342	3532
884	342	3530
885	343	3529
886	343	3529
887	343	3528
888	344	3527
889	344	3526
890	344	3526
891	345	3526
892	345	3526
893	346	3525
894	346	3525
895	346	3524
896	347	3523
897	347	3522
898	347	3521
899	348	3521
900	348	3520
901	348	3519
902	349	3518
903	349	3517
904	349	3516
905	350	3515
906	350	3514
907	350	3513
908	351	3512
909	351	3511
910	351	3511
911	352	3510
912	352	3509
913	352	3508
914	353	3508
915	353	3508
916	354	3507
917	354	3507
918	354	3505
919	355	3504
920	355	3504
921	355	3503
922	356	3502
923	356	3502
924	356	3501
925	357	3502
926	357	3501
927	358	3500
928	358	3500
929	358	3499
930	359	3498
931	359	3497
932	359	3497
933	360	3497
934	360	3497
