PID,SalePrice,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Pool,PorchArea,TotalBath
526301100,215000,20,141.0,31770,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,6,5,1960,1960,Hip,CompShg,BrkFace,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,GasA,Fa,Y,SBrkr,1656,0,0,3,1,TA,7,Typ,2,Gd,Attchd,Fin,2.0,528.0,TA,TA,P,210,None,None,None,0,5,2010,WD ,Normal,No,62,2.0
526302030,149900,20,73.0,11027,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,6,5,1954,1954,Hip,CompShg,Wd Sdng,Stone,28.0,TA,TA,CBlock,TA,TA,No,BLQ,468.0,Rec,539.0,171.0,GasA,Gd,Y,SBrkr,1293,0,0,2,1,TA,5,Typ,0,None,Attchd,RFn,2.0,452.0,TA,TA,Y,280,None,None,None,0,5,2006,WD ,Normal,No,0,3.0
526302040,157500,20,85.0,10533,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,6,6,1956,1956,Hip,CompShg,VinylSd,BrkFace,244.0,TA,Gd,CBlock,TA,TA,No,Rec,773.0,Unf,0.0,235.0,GasA,TA,Y,SBrkr,1024,0,0,2,1,Gd,5,Typ,2,TA,Attchd,Unf,1.0,313.0,TA,TA,Y,0,None,None,None,0,8,2006,WD ,Normal,No,280,2.0
526302110,124500,20,74.0,13008,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,6,5,1956,1956,Gable,CompShg,MetalSd,None,0.0,TA,TA,CBlock,Fa,Fa,No,Rec,564.0,Unf,0.0,318.0,GasA,TA,Y,SBrkr,882,0,0,2,1,TA,5,Typ,0,None,Attchd,Unf,1.0,502.0,TA,TA,Y,0,None,None,None,0,10,2009,WD ,Normal,No,0,1.0
526302120,169000,20,73.0,11765,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,5,5,1957,1957,Gable,CompShg,Wd Sdng,Stone,302.0,TA,TA,CBlock,TA,TA,Mn,Rec,1127.0,Unf,0.0,490.0,GasA,Fa,Y,SBrkr,1797,0,0,3,1,TA,7,Typ,1,TA,Attchd,Unf,3.0,963.0,TA,TA,Y,0,None,None,None,0,6,2006,WD ,Normal,No,0,1.5
526350040,105000,20,80.0,11622,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,5,6,1961,1961,Gable,CompShg,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,GasA,TA,Y,SBrkr,896,0,0,2,1,TA,5,Typ,0,None,Attchd,Unf,1.0,730.0,TA,TA,Y,140,None,MnPrv,None,0,6,2010,WD ,Normal,No,120,1.0
526351010,172000,20,81.0,14267,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,6,6,1958,1958,Hip,CompShg,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,GasA,TA,Y,SBrkr,1329,0,0,3,1,Gd,6,Typ,0,None,Attchd,Unf,1.0,312.0,TA,TA,Y,393,None,None,Gar2,12500,6,2010,WD ,Normal,No,36,1.5
526351030,176500,20,87.0,11029,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,6,8,1958,2002,Hip,CompShg,MetalSd,None,0.0,Ex,TA,CBlock,Gd,TA,No,ALQ,528.0,BLQ,411.0,245.0,GasA,Ex,Y,SBrkr,1414,0,0,3,1,TA,6,Min1,1,TA,Attchd,Unf,2.0,601.0,TA,TA,Y,0,None,None,None,0,5,2008,WD ,Normal,No,241,2.0
526351100,157000,20,85.0,10200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,6,5,1974,1974,Hip,CompShg,Plywood,BrkFace,440.0,TA,TA,CBlock,TA,TA,No,LwQ,844.0,Unf,0.0,590.0,GasA,TA,Y,SBrkr,1434,0,0,4,1,TA,7,Typ,1,Gd,Attchd,RFn,2.0,528.0,TA,TA,Y,80,None,None,None,0,6,2009,WD ,Normal,No,21,3.0
526352080,167300,20,85.0,10667,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,6,6,1971,1971,Gable,CompShg,MetalSd,BrkFace,302.0,TA,TA,CBlock,TA,TA,No,BLQ,838.0,Unf,0.0,749.0,GasA,TA,Y,SBrkr,1587,0,0,3,1,TA,7,Typ,1,Gd,Attchd,Unf,2.0,525.0,TA,TA,Y,0,None,None,None,0,3,2007,WD ,Normal,No,44,2.0
