PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Prop_Addr
526301100,1656,215000,20,RL,141,31770,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,Y,SBrkr,1656,0,0,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960,Fin,2,528,TA,TA,P,210,62,0,0,0,0,None,None,None,0,5,2010,WD ,Normal,3126 NORTHWOOD DR
526302030,1293,149900,20,RL,73,11027,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28,TA,TA,CBlock,TA,TA,No,BLQ,468,Rec,539,171,1178,GasA,Gd,Y,SBrkr,1293,0,0,1,0,2,0,2,1,TA,5,Typ,0,None,Attchd,1954,RFn,2,452,TA,TA,Y,280,0,0,0,0,0,None,None,None,0,5,2006,WD ,Normal,3115 NORTHWOOD DR
526302040,1024,157500,20,RL,85,10533,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1956,1956,Hip,CompShg,VinylSd,VinylSd,BrkFace,244,TA,Gd,CBlock,TA,TA,No,Rec,773,Unf,0,235,1008,GasA,TA,Y,SBrkr,1024,0,0,1,0,1,0,2,1,Gd,5,Typ,2,TA,Attchd,1956,Unf,1,313,TA,TA,Y,0,0,0,0,280,0,None,None,None,0,8,2006,WD ,Normal,3113 NORTHWOOD DR
526302110,882,124500,20,RL,74,13008,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Fa,Fa,No,Rec,564,Unf,0,318,882,GasA,TA,Y,SBrkr,882,0,0,0,0,1,0,2,1,TA,5,Typ,0,None,Attchd,1956,Unf,1,502,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD ,Normal,623 RIVER OAK DR
526302120,1797,169000,20,RL,73,11765,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,302,TA,TA,CBlock,TA,TA,Mn,Rec,1127,Unf,0,490,1617,GasA,Fa,Y,SBrkr,1797,0,0,0,0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1957,Unf,3,963,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2006,WD ,Normal,627 RIVER OAK DR
526350040,896,105000,20,RH,80,11622,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,882,GasA,TA,Y,SBrkr,896,0,0,0,0,1,0,2,1,TA,5,Typ,0,None,Attchd,1961,Unf,1,730,TA,TA,Y,140,0,0,0,120,0,None,MnPrv,None,0,6,2010,WD ,Normal,3109 GROVE AVE
526351010,1329,172000,20,RL,81,14267,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,1329,GasA,TA,Y,SBrkr,1329,0,0,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,1958,Unf,1,312,TA,TA,Y,393,36,0,0,0,0,None,None,Gar2,12500,6,2010,WD ,Normal,630 RIVER OAK DR
526351030,1414,176500,20,RL,87,11029,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1958,2002,Hip,CompShg,MetalSd,MetalSd,None,0,Ex,TA,CBlock,Gd,TA,No,ALQ,528,BLQ,411,245,1184,GasA,Ex,Y,SBrkr,1414,0,0,1,0,1,0,3,1,TA,6,Min1,1,TA,Attchd,1990,Unf,2,601,TA,TA,Y,0,51,0,0,190,0,None,None,None,0,5,2008,WD ,Normal,620 RIVER OAK DR
526351100,1434,157000,20,RL,85,10200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,440,TA,TA,CBlock,TA,TA,No,LwQ,844,Unf,0,590,1434,GasA,TA,Y,SBrkr,1434,0,0,1,0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1974,RFn,2,528,TA,TA,Y,80,21,0,0,0,0,None,None,None,0,6,2009,WD ,Normal,3010 GROVE AVE
526352080,1587,167300,20,RL,85,10667,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,BrkFace,302,TA,TA,CBlock,TA,TA,No,BLQ,838,Unf,0,749,1587,GasA,TA,Y,SBrkr,1587,0,0,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1971,Unf,2,525,TA,TA,Y,0,44,0,0,0,0,None,None,None,0,3,2007,WD ,Normal,3006 KELLOGG AVE
526352090,1277,167000,20,RL,85,10628,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778,Unf,0,499,1277,GasA,TA,Y,SBrkr,1277,0,0,1,0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1970,Unf,2,526,TA,TA,Y,0,0,0,0,176,0,None,GdWo,None,0,4,2007,WD ,Normal,3010 KELLOGG AVE
526353030,2110,244000,20,RL,93,11160,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,TA,CBlock,TA,TA,No,ALQ,1065,Unf,0,1045,2110,GasA,Ex,Y,SBrkr,2110,0,0,1,0,2,1,3,1,Ex,8,Typ,2,TA,Attchd,1968,Fin,2,522,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,4,2010,WD ,Normal,3004 NORTHWOOD DR
