PID,AllBathAbv,AllBathBsmt,BsmtCond,BsmtUnfSF,CentralAir,ExterQual,FireplaceQu,Foundation,GarageCars,GarageQual,GoodLivArea,HasPool,HeatingQC,KitchenQual,MSSubClass,Neighborhood,PavedDrive,PorchArea,SalePrice,YearBuilt
526301100,1.0,1.0,3,441.0,1,2,3,5,2.0,2,2295.0,0,1,2,5,15,1,272,215000,1960
526302030,2.0,1.0,2,171.0,1,2,0,5,2.0,2,2300.0,0,3,2,5,15,1,280,149900,1954
526302040,1.0,1.0,2,235.0,1,2,2,5,1.0,2,1797.0,0,2,3,5,15,1,280,157500,1956
526302110,1.0,0.0,1,318.0,1,2,0,5,1.0,2,1446.0,0,2,2,5,15,1,0,124500,1956
526302120,1.5,0.0,2,490.0,1,2,2,5,3.0,2,2924.0,0,1,2,5,15,1,0,169000,1957
526350040,1.0,0.0,2,270.0,1,2,0,5,1.0,2,1508.0,0,2,2,5,15,1,260,105000,1961
526351010,1.5,0.0,2,406.0,1,2,0,5,1.0,2,2252.0,0,2,3,5,15,1,429,172000,1958
526351030,1.0,1.0,2,245.0,1,4,2,5,2.0,2,2353.0,0,4,2,5,15,1,241,176500,1958
526351100,2.0,1.0,2,590.0,1,2,3,5,2.0,2,2278.0,0,2,2,5,15,1,101,157000,1974
526352080,2.0,0.0,2,749.0,1,2,3,5,2.0,2,2425.0,0,2,2,5,15,1,44,167300,1971
526352090,1.0,1.0,3,499.0,1,2,1,5,2.0,2,2055.0,0,2,2,5,15,1,176,167000,1970
526353030,2.5,1.0,2,1045.0,1,3,2,5,2.0,2,3175.0,0,4,4,5,15,1,0,244000,1968
526353050,2.5,0.0,2,340.0,1,2,3,5,2.0,2,2982.0,0,4,2,5,15,1,42,237500,1970
526354020,2.0,0.0,2,1851.0,1,2,2,5,2.0,2,1851.0,0,3,2,5,15,1,146,192100,1969
526354070,2.5,0.0,2,176.0,1,2,3,5,2.0,2,2888.0,0,2,2,6,15,1,280,206900,1969
526355080,2.5,1.0,2,542.0,1,3,2,5,2.0,2,4114.0,0,3,4,3,15,1,380,345000,1972
526355170,2.0,1.0,2,343.0,1,2,3,5,2.0,2,4103.0,0,4,2,5,15,1,300,244000,1973
526355190,2.0,1.0,3,1043.0,1,3,2,6,2.0,2,3391.0,0,4,3,5,15,1,512,268000,1970
527105010,2.5,0.0,2,137.0,1,2,2,6,2.0,2,2420.0,0,3,2,6,8,1,246,189900,1997
527105030,2.5,0.0,2,324.0,1,2,3,6,2.0,2,2206.0,0,4,3,6,8,1,396,195500,1998
527105050,2.5,0.0,2,220.0,1,2,2,6,2.0,2,2310.0,0,4,2,6,8,1,36,187500,1997
527105060,2.5,1.0,2,113.0,1,2,2,6,2.0,2,2225.0,0,4,2,6,8,1,493,183500,1997
527105070,2.5,0.0,2,98.0,1,2,2,6,2.0,2,2455.0,0,4,2,6,8,1,282,189500,1997
527105130,2.5,0.0,2,158.0,1,3,3,6,3.0,2,3133.0,0,4,3,6,8,1,166,270000,2003
527105140,2.5,0.0,2,847.0,1,3,3,6,2.0,2,1733.0,0,4,3,6,8,1,148,225000,2003
527106010,2.5,0.0,2,964.0,1,2,2,6,2.0,2,2236.0,0,3,3,6,8,1,0,222000,1997
527106050,2.5,0.0,2,204.0,1,2,2,6,2.0,2,1946.0,0,3,2,6,8,1,241,165000,1995
527106140,2.5,0.0,2,75.0,1,2,0,6,2.0,2,2455.0,0,4,2,6,8,1,182,195500,1998
527106150,2.5,1.0,2,115.0,1,2,2,6,2.0,2,2466.0,0,3,2,6,8,1,138,192000,1998
527107010,2.5,0.0,2,778.0,1,2,2,6,2.0,2,1774.0,0,3,2,6,8,1,252,173000,1996
527107020,2.5,0.0,2,781.0,1,2,2,6,2.0,2,1671.0,0,3,2,6,8,1,84,170000,1995
527107030,2.5,0.0,2,99.0,1,2,2,6,2.0,2,2090.0,0,3,2,6,8,1,359,187500,1995
527107040,2.5,0.0,2,806.0,1,2,2,6,2.0,2,1572.0,0,3,2,6,8,1,40,168000,1995
527107090,2.0,1.0,2,898.0,1,3,0,6,2.0,2,1834.0,0,3,3,5,8,1,39,177900,1996
